@RELATION appcontest

@ATTRIBUTE acc_magx_min NUMERIC
@ATTRIBUTE acc_magx_max NUMERIC
@ATTRIBUTE acc_magx_abs_mean NUMERIC
@ATTRIBUTE acc_magy_min NUMERIC
@ATTRIBUTE acc_magy_max NUMERIC
@ATTRIBUTE acc_magy_abs_mean NUMERIC
@ATTRIBUTE acc_magz_min NUMERIC
@ATTRIBUTE acc_magz_max NUMERIC
@ATTRIBUTE acc_magz_abs_mean NUMERIC
@ATTRIBUTE acc_mag_mean NUMERIC
@ATTRIBUTE acc_magz_peakfreq NUMERIC
@ATTRIBUTE acc_magz_spectralslope NUMERIC
@ATTRIBUTE class {left2right,right2left,other}

@DATA
-6.04336,2.8787,2.26143,1.12093,19.1835,9.96611,-8.11806,20.2172,3.36524,11.2418,1.96,0.00408891,other
-5.69291,3.46797,2.21219,1.12093,19.1835,10.0289,-11.6041,20.2087,3.44365,11.3043,4.95,-0.00251518,other
-5.76399,3.46797,2.38001,1.12093,19.1389,9.77723,-11.6041,20.2087,2.7654,10.8144,1.94,-0.0104198,other
-5.76399,1.9734,2.80509,1.53347,19.1389,9.21243,-11.6041,20.2087,2.21776,10.2023,3.84,-0.0512592,other
-5.00832,0.463418,2.65422,7.26199,10.7451,9.22495,-2.68761,4.27989,1.48278,9.83424,0.96,-0.0500857,other
-11.4371,5.89566,2.42351,0.430508,18.968,9.91479,-7.92787,18.0886,2.48468,10.9257,1.455,-0.0399461,other
-11.4371,5.89566,1.94088,0.430508,18.968,10.4021,-11.7015,18.0886,2.94743,11.4972,1.98,0.00546872,other
-11.4371,5.89566,2.33469,0.430508,18.968,9.38713,-16.9231,18.6884,3.51227,11.0014,3.43,-0.0459468,other
-9.15608,11.0408,2.70547,1.12242,19.331,10.0624,-16.9231,20.0812,3.96793,11.8038,3.43,-0.0821216,other
-9.15608,11.0408,2.34038,1.75732,19.331,10.0345,-17.1384,20.2347,3.8391,11.5527,3.92,-0.0658311,other
-8.91427,3.9908,2.23748,1.01798,19.2773,10.3182,-17.1384,20.2347,3.65182,11.6929,1.9,-0.00972324,other
-7.85141,3.73986,2.16887,0.0629973,19.2193,10.054,-10.3481,20.2018,3.43546,11.4268,1.9,-0.00681754,other
-7.85141,3.73986,2.33558,0.0629973,19.2193,10.1385,-8.72798,20.2227,3.44395,11.4959,1.94,-0.0196661,other
-7.85141,2.81346,2.35413,0.0629973,19.2193,10.4163,-8.72798,20.2227,3.33926,11.7167,1.94,-0.0143125,other
-7.76955,3.87214,2.19822,1.38758,19.1869,9.695,-5.8373,20.2227,2.79965,10.8383,1.96,-0.0266225,other
-9.58284,4.40558,2.33361,0.379925,19.1459,10.2273,-7.04607,20.2179,3.29126,11.5601,5.05,-0.0429629,other
-9.58284,4.40558,2.08061,0.379925,19.2097,10.1552,-7.04607,20.2206,3.20419,11.4514,1.98,-0.0417196,other
-9.58284,4.40558,2.46353,0.379925,19.2097,10.3414,-7.79454,20.2206,3.63362,11.9034,1.96,-0.0224068,other
-9.00106,4.12023,2.25975,1.54903,19.2405,9.90243,-7.79454,20.2206,3.63757,11.3471,1.94,-0.00675413,other
-9.00106,4.12023,2.04013,1.5191,19.2405,10.1908,-7.40564,20.194,3.41634,11.4152,1.94,-0.00782088,other
-8.83451,6.14391,2.07004,1.5191,19.236,10.0051,-7.23281,20.2449,3.2382,11.2141,1.98,-0.00829538,other
-8.83451,6.14391,2.05488,1.53392,19.236,9.89189,-7.23281,20.2449,2.83202,10.8982,4.545,-0.00429833,other
-8.83451,6.14391,2.22141,1.23016,19.236,10.0168,-8.04668,20.2449,3.12989,11.2709,2,-0.0192898,other
-8.34236,5.07476,2.35631,-0.716761,19.1654,10.0857,-9.24093,20.2359,3.44435,11.4961,1.94,-0.0111939,other
-8.34236,5.07476,2.45725,-2.47349,19.182,10.1187,-9.24093,20.2359,3.72132,11.7388,1.96,-0.0055419,other
-8.34236,4.65398,2.23711,-2.47349,19.182,9.96404,-8.08244,20.2199,3.60651,11.529,1.96,-0.0110395,other
-8.06943,4.65398,2.30519,-2.47349,19.182,10.6818,-10.7159,20.2199,3.5861,12.1953,1.98,-0.0229358,other
-6.05039,4.55208,2.297,-0.796812,19.1856,10.3543,-10.7159,20.2031,3.69365,11.9573,1.92,-0.0132376,other
-7.76102,4.55208,2.1862,-0.796812,19.2107,10.3897,-10.0482,20.2021,3.71179,11.9091,1.86,-0.0072127,other
-7.76102,4.00651,2.01833,1.46314,19.2107,10.0686,-5.52501,20.2021,3.49505,11.3624,1.86,-0.020167,other
-7.76102,4.00651,1.94383,1.03548,19.1839,9.74977,-5.52501,20.1965,3.11112,10.8843,1.9,0.00914009,other
-8.90545,3.78624,2.05516,1.03548,19.1839,10.0439,-8.73097,20.2128,3.49451,11.3901,1.94,-0.00248202,other
-8.90545,4.35396,2.22519,1.03548,19.1486,9.64479,-8.73097,20.2359,3.35656,11.0421,1.98,0.00656324,other
-8.83586,8.05611,2.30901,1.10805,19.2104,9.90501,-10.9249,20.2359,3.7977,11.4825,1.96,-0.00641221,other
-8.83586,8.05611,2.2581,1.01409,19.2104,9.7504,-10.9249,20.1986,3.70851,11.2874,1.94,-0.00394396,other
-7.20468,8.05611,2.39206,1.01409,19.2104,10.2447,-10.9249,20.1986,3.63589,11.7234,1.96,-0.0101293,other
-7.14527,5.24595,2.45314,-0.0312731,19.23,9.69119,-9.96472,20.2369,3.50391,11.1997,2,0.00799564,other
-9.14396,6.87862,2.47653,-0.0312731,19.23,10.1024,-9.96472,20.2369,3.63146,11.6295,1.96,0.00254941,other
-9.14396,6.87862,2.32449,0.0770599,19.1973,10.0712,-8.20394,20.2236,3.56242,11.5916,1.96,-0.00494998,other
-9.14396,6.87862,2.25733,0.0770599,19.1554,9.94183,-8.20394,20.2236,3.24593,11.2745,1.94,0.00810316,other
-8.24181,6.65701,2.29486,0.0770599,19.1554,10.147,-8.20394,20.2529,3.28412,11.4972,1.9,-0.0257487,other
-9.98072,8.25123,2.34672,0.887189,19.1473,10.0246,-7.48524,20.3098,3.23992,11.3659,1.88,0.00198295,other
