6	 -0.015793	 1.014206	 0.010910	 5
1462172137.806	 7	 0.001175	 0.962692	 0.071274	 5
1462172137.816	 7	 0.017685	 0.959167	 0.062485	 5
1462172137.826	 7	 0.020294	 0.953079	 0.059204	 5
1462172137.836	 7	 0.029510	 0.944794	 0.064728	 5
1462172137.846	 7	 0.039444	 0.943939	 0.069427	 5
1462172137.856	 7	 0.058411	 0.947556	 0.054520	 5
1462172137.866	 7	 0.087875	 0.965424	 0.054581	 5
1462172137.876	 7	 0.121140	 0.993942	 0.081573	 5
1462172137.886	 7	 0.156738	 0.996368	 0.102539	 5
1462172137.896	 7	 0.171661	 0.996704	 0.078705	 5
1462172137.906	 7	 0.151718	 0.987640	 0.057159	 5
1462172137.916	 7	 0.126572	 0.997330	 0.040237	 5
1462172137.926	 7	 0.091400	 1.024185	 0.031891	 5
1462172137.936	 7	 0.074432	 1.038773	 0.028656	 5
1462172137.946	 7	 0.077271	 1.047714	 0.020920	 5
1462172137.956	 7	 0.097214	 1.062561	 0.015030	 5
1462172137.966	 7	 0.101868	 1.090118	 0.001053	 5
1462172137.976	 7	 0.077560	 1.108673	 -0.004211	 5
1462172137.986	 7	 0.044022	 1.117615	 0.006683	 5
1462172137.996	 7	 0.000977	 1.120087	 0.043457	 5
1462172138.006	 7	 -0.046188	 1.122620	 0.067307	 5
1462172138.016	 7	 -0.072845	 1.144836	 0.093170	 5
1462172138.026	 7	 -0.064072	 1.181900	 0.106888	 5
1462172138.036	 7	 0.004410	 1.257080	 0.093094	 5
1462172138.046	 7	 0.092712	 1.354950	 0.112259	 5
1462172138.056	 7	 0.202423	 1.407745	 0.138153	 5
1462172138.066	 7	 0.269653	 1.417252	 0.116592	 5
1462172138.076	 7	 0.285431	 1.392715	 0.097183	 5
1462172138.086	 7	 0.240067	 1.355652	 0.140839	 5
1462172138.096	 7	 0.119354	 1.285828	 0.192963	 5
1462172138.106	 7	 -0.035812	 1.192535	 0.205795	 5
1462172138.116	 7	 -0.206802	 1.149445	 0.193298	 5
1462172138.126	 7	 -0.357590	 1.074005	 0.153473	 5
1462172138.136	 7	 -0.459976	 1.000107	 0.109451	 5
1462172138.146	 7	 -0.506363	 0.956039	 0.065918	 5
1462172138.156	 7	 -0.478470	 0.924088	 0.012573	 5
1462172138.166	 7	 -0.413940	 0.933670	 -0.026199	 5
1462172138.176	 7	 -0.300201	 1.021698	 0.000488	 5
1462172138.186	 7	 -0.145096	 1.163712	 0.032974	 5
1462172138.196	 7	 -0.011459	 1.342194	 0.058075	 5
1462172138.206	 8	 0.061752	 1.474350	 0.102203	 5
1462172138.226	 8	 0.161026	 1.525574	 0.101334	 5
1462172138.236	 8	 0.190979	 1.390503	 0.057373	 5
1462172138.246	 8	 0.200378	 1.294861	 0.053223	 5
1462172138.256	 8	 0.190796	 1.230743	 0.037872	 5
1462172138.266	 9	 0.135941	 1.145462	 0.028519	 5
1462172138.286	 9	 0.035782	 0.972305	 0.020462	 5
1462172138.296	 10	 0.011276	 0.895126	 0.070129	 5
1462172138.316	 10	 -0.199249	 0.830307	 0.152695	 5
1462172138.326	 10	 -0.303467	 0.792252	 0.219711	 5
1462172138.336	 10	 -0.389725	 0.794296	 0.280762	 5
1462172138.346	 10	 -0.423004	 0.785538	 0.295471	 5
1462172138.356	 11	 -0.406631	 0.784485	 0.262024	 5
1462172138.376	 11	 -0.289505	 0.753342	 0.149628	 5
1462172138.386	 11	 -0.205078	 0.734085	 0.129532	 5
1462172138.396	 11	 -0.133865	 0.727554	 0.133911	 5
1462172138.406	 11	 -0.086517	 0.717041	 0.171432	 5
1462172138.416	 11	 -0.050613	 0.676437	 0.218735	 5
1462172138.426	 12	 -0.034042	 0.666077	 0.223907	 5
1462172138.446	 12	 -0.024368	 0.616318	 0.222565	 5
1462172138.456	 12	 -0.044922	 0.598724	 0.209091	 5
1462172138.466	 12	 -0.083893	 0.596725	 0.213913	 5
1462172138.476	 12	 -0.135147	 0.600876	 0.232666	 5
1462172138.486	 12	 -0.185455	 0.600204	 0.265091	 5
1462172138.496	 12	 -0.219040	 0.602646	 0.298752	 5
1462172138.506	 12	 -0.234772	 0.602097	 0.337250	 5
1462172138.516	 12	 -0.229507	 0.596756	 0.365677	 5
1462172138.526	 12	 -0.202728	 0.589462	 0.400314	 5
1462172138.536	 12	 -0.172424	 0.612015	 0.438522	 5
1462172138.546	 12	 -0.143097	 0.682968	 0.473846	 5
1462172138.556	 12	 -0.124207	 0.780930	 0.498428	 5
1462172138.566	 12	 -0.102066	 0.894882	 0.542511	 5
1462172138.586	 13	 -0.062531	 1.146088	 0.670822	 5
1462172138.596	 13	 -0.050064	 1.263794	 0.766876	 5
1462172138.606	 13	 -0.046463	 1.358917	 0.862213	 5
1462172138.616	 13	 -0.042023	 1.364593	 0.923935	 5
1462172138.626	 13	 -0.040955	 1.290009	 0.932739	 5
1462172138.646	 14	 -0.039398	 1.036591	 0.805313	 5
1462172138.656	 14	 -0.065887	 0.930908	 0.731079	 5
1462172138.666	 14	 -0.101395	 0.857285	 0.628510	 5
1462172138.676	 14	 -0.141632	 0.825974	 0.514893	 5
1462172138.686	 14	 -0.198257	 0.896591	 0.437286	 5
1462172138.696	 14	 -0.259857	 1.112854	 0.415543	 5
1462172138.706	 14	 -0.346283	 1.374130	 0.344254	 5
1462172138.716	 14	 -0.467300	 1.593002	 0.164642	 5
1462172138.726	 14	 -0.545288	 1.674271	 -0.009888	 5
1462172138.736	 14	 -0.527939	 1.527191	 0.012833	 5
1462172138.746	 14	 -0.413742	 1.291946	 0.223953	 5
1462172138.756	 14	 -0.203491	 1.066605	 0.328094	 5
1462172138.766	 14	 -0.092850	 0.869431	 0.241028	 5
1462172138.776	 14	 -0.127075	 0.606964	 0.239578	 5
1462172138.786	 14	 -0.221024	 0.315430	 0.293198	 5
1462172138.796	 14	 -0.302902	 0.233292	 0.174667	 5
1462172138.806	 14	 -0.375946	 0.362503	 -0.109344	 5
